Opinto;Tyyppi;Toteutus;Alkupvm;Loppupvm;Nimi;Vastuutoimipiste;Vastuuohjelma
IT130603;OJ;316PA;20160101;20160515;Yrityksen lähiverkon toteutus;TIEDEB;IT
IT130703;OJ;316PA;20160101;20160515;NGN-järjestelmät;TIEDEB;IT
IC130103;OJ;115PA;20150801;20151231;Asiantuntijaviestintä;TIEDEB;IT
IC130202;OJ;115PB;20150801;20151231;Johtaminen ja yrittäjyys;TIEDEB;IT
IT080404;OJ;115PA;20150801;20151231;Matkapuhelinverkkojen laboraatiot;TIEDEB;IT
IT080405;OJ;115PA;20150801;20151231;Älyverkkojen työkurssi;TIEDEB;IT
IT080703;OJ;115PA;20150801;20151231;Ohjelmistolaboraatiot;TIEDEB;IT
IT130102;OJ;115PA;20150801;20151231;Suunnittelumallit ja rinnakkaisohjelmointi;TIEDEB;IT
IT130303;OJ;115PA;20150801;20151231;C/C++ -ohjelmoinnin jatkokurssi;TIEDEB;IT
IT130602;OJ;115PA;20150801;20151231;Laajojen reititinverkkojen toteutus;TIEDEB;IT
IT130702;OJ;115PA;20150801;20151231;Mobiiliverkot;TIEDEB;IT
TY080104;OJ;115PA;20150801;20151019;Tutkimusviestintä;TIEDEB;IT
IT080303;OJ;114PA;20141006;20150517;Yritysten lähiverkkojen toteutus;TIEDEB;IT
IT080306;OJ;315PA;20150101;20150517;Verkkojen vianhaku (Trouble shooting);TIEDEB;IT
IT080601;OJ;315PA;20150101;20150517;Linux-pääkäyttö;TIEDEB;IT
IT080804;OJ;415PA;20150316;20150517;Testaus ja laadunvarmistus;TIEDEB;IT
IT130302;OJ;315PA;20150101;20150517;Ohjelmoitava digitaalitekniikka;TIEDEB;IT
TY080107A;OSA;315PG;20150101;20150517;Ruotsi/Suullinen taito;TIEDEB;IT
TY080209B;OSA;415PA;20150316;20150517;Kemia, laboratoriotyöt;TIEDEB;IT
IT080403;OJ;315PA;20150101;20150430;Matkapuhelinjärjestelmät;TIEDEB;IT
IT080508;OJ;315PA;20150101;20150430;Android (Android Programming);TIEDEB;IT
IT080702;OJ;315PA;20150101;20150430;Java EE;TIEDEB;IT
IT130101;OJ;315PA;20150101;20150430;Tietorakenteet ja algoritmit;TIEDEB;IT
IT130601;OJ;315PA;20150101;20150430;Verkkojen tietoturva;TIEDEB;IT
IT130701;OJ;315PA;20150101;20150430;Teletekniikat;TIEDEB;IT
TY080107B;OSA;315PF;20150101;20150430;Ruotsi/Kirjallinen taito;TIEDEB;IT
IT130902;OJ;114PA;20141020;20150315;Lämpötekniikka ja värähtelyt;TIEDEB;IT
IT130903;OJ;114PA;20140901;20150315;Fysiikan laboraatiot;TIEDEB;IT
TY080209A;OSA;315PA;20150101;20150315;Kemia, luennot;TIEDEB;IT
IC130102;OJ;114PD;20140801;20141231;Englanti;TIEDEB;IT
IT080301;OJ;114PA;20140901;20141231;Laajojen reititinverkkojen toteutus;TIEDEB;IT
IT080306;OJ;114PA;20140801;20141231;Verkkojen vianhaku (Trouble shooting);TIEDEB;IT
IT080402;OJ;114PA;20140801;20141231;Radiotekniikka;TIEDEB;IT
IT080405;OJ;114PA;20140901;20141231;Älyverkkojen työkurssi;TIEDEB;IT
IT080701;OJ;114PA;20140801;20141231;Tietorakenteet ja algoritmit;TIEDEB;IT
IT080801;OJ;114PA;20140801;20141231;Määrittely ja suunnittelu;TIEDEB;IT
IT080802;OJ;114PA;20140801;20141231;Teollinen ohjelmistotuotanto;TIEDEB;IT
IT130203;OJ;114PA;20140801;20141231;Elektroniikka II;TIEDEB;IT
IT130301;OJ;114PA;20140801;20141231;Tietokonetekniikka;TIEDEB;IT
IT130501;OJ;114PA;20140801;20141231;Tietoliikennejärjestelmät;TIEDEB;IT
IT130503;OJ;114PA;20140901;20141231;Tietokoneverkkojen etäyhteydet;TIEDEB;IT
IT130803;OJ;114PA;20140801;20141231;Differentiaali- ja intergraalilaskenta;TIEDEB;IT
IT130903;OJ;314PA;20140101;20141231;Fysiikan laboraatiot;TIEDEB;IT
TY080103;OJ;315PB;20140801;20141231;Johtaminen ja projektitoiminta;TIEDEB;IT
TY080106;OJ;114PC;20140901;20141231;Työelämän ja tekniikan englanti 2;TIEDEB;IT
TY080107A;OSA;114PG;20140801;20141231;Ruotsi/Suullinen taito;TIEDEB;IT
TY080107B;OSA;114PF;20140801;20141231;Ruotsi/Kirjallinen taito;TIEDEB;IT
IT130103;OJ;114PB;20140901;20141219;C/C++ -ohjelmointi;TIEDEB;IT
IT080205;OJ;114PA;20140901;20141215;Tietoliikennetekniikan laboraatiot;TIEDEB;IT
IT080401;OJ;114PA;20140901;20141215;Televerkot;TIEDEB;IT
IT080404;OJ;114PA;20140901;20141215;Matkapuhelinverkkojen laboraatiot;TIEDEB;IT
IT080704;OJ;114PA;20140901;20141213;Server side -ohjelmointi;TIEDEB;IT
TY080104;OJ;114PD;20140901;20141128;Tutkimusviestintä;TIEDEB;IT
IT080301;OJ;113PA;20140128;20140531;Laajojen reititinverkkojen toteutus;TIEDEB;IT
IT080104;OJ;314PA;20140101;20140511;Tekninen dokumentointi;TIEDEB;IT
IT080115;OJ;314PA;20140101;20140511;Java SE;TIEDEB;IT
IT080116;OJ;314PA;20140101;20140511;Relaatiotietokannat;TIEDEB;IT
IT080303;OJ;314PA;20140101;20140511;Yritysten lähiverkkojen toteutus;TIEDEB;IT
IT080305;OJ;314PA;20131120;20140511;CCNA Security;TIEDEB;IT
IT080305;OJ;314PB;20140101;20140511;CCNA Security;TIEDEB;IT
IT080403;OJ;314PA;20140101;20140511;Matkapuhelinjärjestelmät;TIEDEB;IT
IT080405;OJ;314PA;20140101;20140511;Älyverkkojen työkurssi;TIEDEB;IT
IT080601;OJ;314PA;20140101;20140511;Linux-pääkäyttö;TIEDEB;IT
IT130202;OJ;314PA;20140101;20140511;Elektroniikka I;TIEDEB;IT
IT130802;OJ;314PA;20140101;20140511;Geometria;TIEDEB;IT
TY080105;OJ;314PC;20140101;20140511;Työelämän ja tekniikan englanti 1;TIEDEB;IT
TY080204;OJ;314PA;20140101;20140511;Differentiaali- ja integraalilaskenta;TIEDEB;IT
TY080207B;OSA;314PA;20140101;20140322;Lämpötekniikka ja värähtelyt B;TIEDEB;IT
IT080106;OJ;314PA;20140101;20140309;Tietoturva ja salaustekniikat;TIEDEB;IT
IT080204B;OSA;314PA;20140101;20140309;Elektroniikan laboraatiot, osa 2;TIEDEB;IT
IT130502;OJ;314PA;20140101;20140309;Lähi- ja reititinverkot;TIEDEB;IT
IT130901;OJ;213PA;20131021;20140309;Mekaniikka ja sähkömagnetismi;TIEDEB;IT
TY080104;OJ;113PB;20131031;20140131;Tutkimusviestintä;TIEDEB;IT
IC130303;OJ;113PA;20130801;20131231;Tietoverkkojen perusteet;TIEDEB;IT
IT080105B;OSA;213PA;20131020;20131231;Tietokone- ja käyttöjärjestelmätekniikka B;TIEDEB;IT
